DATE,DISP_INCOME
1976-11-01,20509.0
1976-12-01,20571.0
1977-01-01,20514.0
1977-02-01,20317.0
1977-03-01,20586.0
1977-04-01,20601.0
1977-05-01,20588.0
1977-06-01,20656.0
1977-07-01,20770.0
1977-08-01,20833.0
1977-09-01,20926.0
1977-10-01,21058.0
1977-11-01,21207.0
1977-12-01,21278.0
1978-01-01,21171.0
1978-02-01,21282.0
1978-03-01,21441.0
1978-04-01,21497.0
1978-05-01,21464.0
1978-06-01,21446.0
1978-07-01,21532.0
1978-08-01,21600.0
1978-09-01,21584.0
1978-10-01,21622.0
1978-11-01,21621.0
1978-12-01,21710.0
1979-01-01,21796.0
1979-02-01,21867.0
1979-03-01,21908.0
1979-04-01,21710.0
1979-05-01,21590.0
1979-06-01,21513.0
1979-07-01,21647.0
1979-08-01,21653.0
1979-09-01,21610.0
1979-10-01,21575.0
1979-11-01,21612.0
1979-12-01,21634.0
1980-01-01,21763.0
1980-02-01,21627.0
1980-03-01,21472.0
1980-04-01,21430.0
1980-05-01,21330.0
1980-06-01,21354.0
1980-07-01,21521.0
1980-08-01,21523.0
1980-09-01,21594.0
1980-10-01,21744.0
1980-11-01,21760.0
1980-12-01,21847.0
1981-01-01,21748.0
1981-02-01,21667.0
1981-03-01,21713.0
1981-04-01,21635.0
1981-05-01,21661.0
1981-06-01,21760.0
1981-07-01,22083.0
1981-08-01,22127.0
1981-09-01,22068.0
1981-10-01,22077.0
1981-11-01,22073.0
1981-12-01,22029.0
1982-01-01,22042.0
1982-02-01,22087.0
1982-03-01,22068.0
1982-04-01,22270.0
1982-05-01,22160.0
1982-06-01,22020.0
1982-07-01,22201.0
1982-08-01,22214.0
1982-09-01,22184.0
1982-10-01,22139.0
1982-11-01,22208.0
1982-12-01,22295.0
1983-01-01,22353.0
1983-02-01,22346.0
1983-03-01,22436.0
1983-04-01,22469.0
1983-05-01,22497.0
1983-06-01,22496.0
1983-07-01,22761.0
1983-08-01,22699.0
1983-09-01,22845.0
1983-10-01,23033.0
1983-11-01,23217.0
1983-12-01,23413.0
1984-01-01,23508.0
1984-02-01,23634.0
1984-03-01,23775.0
1984-04-01,23923.0
1984-05-01,23944.0
1984-06-01,24085.0
1984-07-01,24096.0
1984-08-01,24239.0
1984-09-01,24389.0
1984-10-01,24278.0
1984-11-01,24365.0
1984-12-01,24498.0
1985-01-01,24475.0
1985-02-01,24234.0
1985-03-01,24107.0
1985-04-01,24489.0
1985-05-01,25067.0
1985-06-01,24520.0
1985-07-01,24551.0
1985-08-01,24511.0
1985-09-01,24593.0
1985-10-01,24694.0
1985-11-01,24712.0
1985-12-01,24842.0
1986-01-01,24870.0
1986-02-01,24983.0
1986-03-01,25222.0
1986-04-01,25301.0
1986-05-01,25306.0
1986-06-01,25268.0
1986-07-01,25379.0
1986-08-01,25395.0
1986-09-01,25397.0
1986-10-01,25360.0
1986-11-01,25358.0
1986-12-01,25386.0
1987-01-01,25467.0
1987-02-01,25587.0
1987-03-01,25602.0
1987-04-01,24623.0
1987-05-01,25603.0
1987-06-01,25549.0
1987-07-01,25598.0
1987-08-01,25684.0
